Waterbody Name,Fish Species Present at Waterbody,Comments,Special Regulations on Waterbody,County,Types of Public Access,Public Fishing Access Owner,Waterbody Information,Longitude,Latitude,Location
West Branch Ausable River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31443.html,Essex,Shore Fishing,Saranac Lake Wild Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwbausable.pdf,-73.915564611,44.310743575,"(44.310743575, -73.915564611)"
North Branch Great Chazy River,Brown Trout* - Rainbow Trout* - Smallmouth Bass,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnbchazy.pdf,-73.874794684,44.884652244,"(44.884652244, -73.874794684)"
West Canada Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/9238.html,-74.996086087,43.16332365,"(43.16332365, -74.996086087)"
West Canada Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/9238.html,-74.983779328,43.085461991,"(43.085461991, -74.983779328)"
Oriskany Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31460.html,Madison,Shore Fishing - Public Fishing Rights,Public Easement,,-75.483751226,42.927563542,"(42.927563542, -75.483751226)"
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.856227958,43.191825316,"(43.191825316, -73.856227958)"
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.877687077,43.138010643,"(43.138010643, -73.877687077)"
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.917898397,43.052586965,"(43.052586965, -73.917898397)"
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.866740662,43.031692383,"(43.031692383, -73.866740662)"
Batten Kill,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31502.html,Washington,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbattenkil.pdf,-73.311378628,43.083037323,"(43.083037323, -73.311378628)"
Batten Kill,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31502.html,Washington,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbattenkil.pdf,-73.354954639,43.13587957,"(43.13587957, -73.354954639)"
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.211095217,43.443823877,"(43.443823877, -75.211095217)"
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.274035848,43.493377775,"(43.493377775, -75.274035848)"
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,,-75.3076741,43.53254981,"(43.53254981, -75.3076741)"
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,,-75.330775915,43.570249921,"(43.570249921, -75.330775915)"
Black River,Brown Trout* - Rainbow Trout* - Walleye,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.365357639,43.678649799,"(43.678649799, -75.365357639)"
Black River,Brown Trout* - Rainbow Trout* - Walleye,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.398932569,43.711130585,"(43.711130585, -75.398932569)"
Black River,Brown Trout* - Rainbow Trout* - Walleye,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.446703206,43.774773516,"(43.774773516, -75.446703206)"
Black River,Brown Trout* - Rainbow Trout* - Walleye,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23889.html,-75.50521032,43.895235137,"(43.895235137, -75.50521032)"
Black River,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon* - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23890.html,-76.046180361,44.005357127,"(44.005357127, -76.046180361)"
Black River,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon* - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23890.html,-76.040388249,44.005820035,"(44.005820035, -76.040388249)"
Stoney Creek,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon - Smallmouth Bass - Northern Pike,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - New York State Park Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstonyck.pdf,-76.229135907,43.824899867,"(43.824899867, -76.229135907)"
South Sandy Creek,Brown Trout - Steelhead* - Coho Salmon - Chinook Salmon* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - Lakeview Wildlife Management Area (DEC) - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrssandyck.pdf,-76.182500037,43.709909916,"(43.709909916, -76.182500037)"
South Sandy Creek,Brook Trout*,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrssandyck.pdf,-75.925293291,43.777696352,"(43.777696352, -75.925293291)"
West Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement - Fish Creek State Forest (DEC),http://www.dec.ny.gov/lands/8072.html,-75.714477768,43.293665209,"(43.293665209, -75.714477768)"
East Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement - East Branch Fish Creek State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrebfishcreek.pdf,-75.594240745,43.463828007,"(43.463828007, -75.594240745)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Camping available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Burnham Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-76.264892023,44.163008752,"(44.163008752, -76.264892023)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Cedar Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-76.199029291,44.204296007,"(44.204296007, -76.199029291)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Grass Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.999920539,44.282217817,"(44.282217817, -75.999920539)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Wellesely Island State Park,http://www.dec.ny.gov/outdoor/29956.html,-76.032894584,44.332175362,"(44.332175362, -76.032894584)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Shore Fishing - Boat Launch (Trailer Improved),Kring Point State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.859611935,44.374585142,"(44.374585142, -75.859611935)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Jacques Cartier State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.686236044,44.562354555,"(44.562354555, -75.686236044)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Coles Creek State Park,http://www.dec.ny.gov/outdoor/29956.html,-75.122420412,44.888898873,"(44.888898873, -75.122420412)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Boat Launch (Trailer Improved),Wilson Hill State Boat Launch,http://www.dec.ny.gov/outdoor/29956.html,-75.011077684,44.929052125,"(44.929052125, -75.011077684)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/29956.html,-74.924899209,44.955925486,"(44.955925486, -74.924899209)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Campground - marina and boat rental available at state park.,http://www.dec.ny.gov/outdoor/31423.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Robert Moses State Park,http://www.dec.ny.gov/outdoor/29956.html,-74.858931717,45.000150607,"(45.000150607, -74.858931717)"
Salmon River,Brook Trout - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrf.pdf,-74.320236144,44.898240638,"(44.898240638, -74.320236144)"
St. Regis River,Brook Trout - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Boat Launch (Hand Launch),Debar Mountain Wild Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstregis.pdf,-74.426088831,44.671708659,"(44.671708659, -74.426088831)"
St. Regis River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,Contact St. Regis Nation (518-358-5937) for access to waters within their lands.,http://www.dec.ny.gov/outdoor/31444.html,St. Lawrence,Boat Launch (Trailer Improved),DEC,,-74.786280341,44.822716152,"(44.822716152, -74.786280341)"
Delaware River (Upper),Brown Trout - Rainbow Trout - Smallmouth Bass - Walleye - Carp,None,,Delaware,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23900.html,-75.214372297,41.868076776,"(41.868076776, -75.214372297)"
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23864.html,-75.057449516,41.669791341,"(41.669791341, -75.057449516)"
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23864.html,-75.058613465,41.611681701,"(41.611681701, -75.058613465)"
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,None,http://www.dec.ny.gov/outdoor/31474.html,Orange,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23864.html,-74.740254614,41.405092306,"(41.405092306, -74.740254614)"
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.59996264,41.740825511,"(41.740825511, -74.59996264)"
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.613046049,41.716763116,"(41.716763116, -74.613046049)"
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.599591451,41.692447795,"(41.692447795, -74.599591451)"
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.617556523,41.636854494,"(41.636854494, -74.617556523)"
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing,Neversink River Unique Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.633052866,41.593396532,"(41.593396532, -74.633052866)"
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,,Warren,Shore Fishing - Boat Launch (Hand Launch),Lake George Wild Forest (DEC),http://www.dec.ny.gov/lands/28291.html,-73.814143727,43.513715376,"(43.513715376, -73.814143727)"
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,,Warren,Shore Fishing - Boat Launch (Hand Launch),Lake George Wild Forest (DEC),http://www.dec.ny.gov/lands/28291.html,-73.852988038,43.325418379,"(43.325418379, -73.852988038)"
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,,Warren,Shore Fishing - Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23860.html,-73.825999418,43.287323582,"(43.287323582, -73.825999418)"
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31502.html,Saratoga,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23860.html,-73.587993226,43.254232031,"(43.254232031, -73.587993226)"
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-74.991358898,42.076582022,"(42.076582022, -74.991358898)"
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-75.184252676,41.964690101,"(41.964690101, -75.184252676)"
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-75.262237976,41.96372689,"(41.96372689, -75.262237976)"
Beaver Kill,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbeaverkill.pdf,-74.928044613,41.949559169,"(41.949559169, -74.928044613)"
Beaver Kill,Brown Trout* - Rainbow Trout,None,,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbeaverkill.pdf,-74.907536082,41.964650883,"(41.964650883, -74.907536082)"
Beaver Kill,Brown Trout* - Rainbow Trout,Camping available onsite.,,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement - Beaverkill Campground (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbeaverkill.pdf,-74.83559897,41.981314631,"(41.981314631, -74.83559897)"
West Branch Delaware River (Upper),Brook Trout - Brown Trout*,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-74.803711617,42.328483023,"(42.328483023, -74.803711617)"
West Branch Delaware River (Upper),Brook Trout - Brown Trout*,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-74.898604961,42.301172072,"(42.301172072, -74.898604961)"
West Branch Delaware River (Upper),Brook Trout - Brown Trout*,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-74.929331058,42.260441526,"(42.260441526, -74.929331058)"
West Branch Delaware River (Lower),Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-75.383871024,42.003173315,"(42.003173315, -75.383871024)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Albany,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23912.html,-73.789569928,42.47318154,"(42.47318154, -73.789569928)"
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23874.html,-73.674228129,42.784585314,"(42.784585314, -73.674228129)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23874.html,-73.734703578,42.65869099,"(42.65869099, -73.734703578)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Boat Launch (Trailer Improved),Schodack Island State Park,http://www.dec.ny.gov/outdoor/23874.html,-73.776426071,42.499956752,"(42.499956752, -73.776426071)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Albany,Shore Fishing - Boat Launch (Trailer Improved),Henry Hudson Town Park (Municipal),http://www.dec.ny.gov/outdoor/23912.html,-73.758999748,42.547759562,"(42.547759562, -73.758999748)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31438.html,Columbia,Boat Launch (Trailer Improved),Hudson State Boat Launch (New York State Parks),http://www.dec.ny.gov/outdoor/23902.html,-73.797604436,42.25639975,"(42.25639975, -73.797604436)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31438.html,Columbia,Shore Fishing - Boat Launch (Trailer Improved),Ernest R. Lasher Memorial Park (Municipal),http://www.dec.ny.gov/outdoor/23902.html,-73.886420105,42.158650282,"(42.158650282, -73.886420105)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31450.html,Greene,Boat Launch (Trailer Improved),Coxsackie Boat Launch (New York State Park),http://www.dec.ny.gov/outdoor/23902.html,-73.795665163,42.353152633,"(42.353152633, -73.795665163)"
Schenevus Creek,Brook Trout - Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschenevus.pdf,-74.683817233,42.609895131,"(42.609895131, -74.683817233)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31450.html,Greene,Boat Launch (Trailer Improved),Athens State Boat launch,http://www.dec.ny.gov/outdoor/23902.html,-73.801813315,42.272658397,"(42.272658397, -73.801813315)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31450.html,Greene,Shore Fishing - Boat Launch (Trailer Improved),Dutchman's Landing Park (Municipal),http://www.dec.ny.gov/outdoor/23902.html,-73.856359119,42.213240158,"(42.213240158, -73.856359119)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23861.html,-73.95493106,41.972865815,"(41.972865815, -73.95493106)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23861.html,-73.930934355,42.098604297,"(42.098604297, -73.930934355)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23861.html,-73.94011231,42.044900483,"(42.044900483, -73.94011231)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23861.html,-73.974711081,41.920106306,"(41.920106306, -73.974711081)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Campground and marina available. Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31500.html,Dutchess,Shore Fishing - Boat Launch (Trailer Improved),Margaret Lewis Norrie State Park,http://www.dec.ny.gov/outdoor/23899.html,-73.941810327,41.834009683,"(41.834009683, -73.941810327)"
